file,energy,onsetRate,rms,dynamicComplexity,spectralCentroid,hfc
"01 7A - 1 - Path of Devotion.mp3",1,0.8667,0.209437,0.0000,0.0000,0.0000
"01 1A - 2 - jerusalem.mp3",2,4.3667,0.065438,0.0000,0.0000,0.0000
"01 2A - 2 - To Speak Of Solitude.mp3",2,1.0333,0.155127,0.0000,0.0000,0.0000
"04 7A - 2 - Distant Light (Original Mix).mp3",2,0.2333,0.219891,0.0000,0.0000,0.0000
"05 10B - 2 - Unforgiven (Original Mix).mp3",2,0.3667,0.061975,0.0000,0.0000,0.0000
"1-10 5A - 2 - Code.mp3",2,0.5333,0.069034,0.0000,0.0000,0.0000
"01 5A - 2 - Sweet Dreams (A cappella).mp3",2,1.6333,0.078702,0.0000,0.0000,0.0000
"01 4A - 2 - Cahaya Bulan (Original Mix).mp3",2,0.1333,0.224400,0.0000,0.0000,0.0000
"01 9A - 2 - Intro.mp3",2,4.2667,0.294017,0.0000,0.0000,0.0000
"01 7A - 2 - Epipelagic (Original Mix).mp3",2,1.8667,0.259627,0.0000,0.0000,0.0000
"04 2A - 2 - Philosophy Of Dance (Accappella).mp3",2,2.4333,0.113082,0.0000,0.0000,0.0000
"04 8A - 2 - Laertes Theme (Original Mix).mp3",2,0.4667,0.173033,0.0000,0.0000,0.0000
"01 7A - 2 - Alfa.mp3",2,5.1333,0.091054,0.0000,0.0000,0.0000
"6A - 2 - Lamplight Rains (Original Vers.mp3",2,3.2000,0.134815,0.0000,0.0000,0.0000
"04 5A - 2 - Venusianische Holle (Original Mix).mp3",2,2.0667,0.277766,0.0000,0.0000,0.0000
"09 9A - 2 - Hammock Therapy.mp3",2,2.1333,0.063125,0.0000,0.0000,0.0000
"10 5A - 2 - Planetary Nebula (Original Mix.mp3",2,3.0000,0.214497,0.0000,0.0000,0.0000
"4A - 2 - VerityAcid (Original Mix).mp3",2,1.5333,0.141550,0.0000,0.0000,0.0000
"11 7A - 2 - Om Mantra (Instrumental).mp3",2,0.5667,0.192611,0.0000,0.0000,0.0000
"02 8A - 3 - Ether (feat. Natalia Maczek) (Original Mix).mp3",3,2.9000,0.199269,0.0000,0.0000,0.0000
"1-02 2B - 3 - Nutshell (Album Version).mp3",3,3.3667,0.248308,0.0000,0.0000,0.0000
